CID,race,gender,birthord,magebirth,medu,bthwht,breastfed,math,read,hhnum
207002,3,0,2,28,12,0,0,97,112,5
207101,3,1,1,29,13,0,1,113,95,6
207201,3,1,1,22,12,0,1,109,118,4
207202,3,0,2,25,12,0,1,104,104,4
207301,3,0,1,30,12,0,1,100,104,4
207402,3,0,2,22,12,0,0,92,109,6
207704,3,1,4,28,11,0,1,92,105,4
208201,3,1,1,21,12,0,0,114,117,2
208301,3,1,1,30,16,0,1,119,135,5
208302,3,0,2,33,16,0,0,102,108,5
208801,3,1,1,27,14,0,0,109,106,4
208802,3,0,2,29,14,0,0,103,95,4
209801,3,0,1,23,12,0,0,97,87,6
209802,3,0,2,27,12,0,0,107,102,6
209803,3,0,3,28,12,0,1,74,77,6
210205,3,1,5,29,12,0,1,104,114,6
210302,3,0,2,28,12,0,1,108,106,6
210303,3,1,3,30,12,0,1,110,102,6
210304,3,0,4,34,12,0,1,108,98,6
210502,3,1,2,27,10,0,0,86,77,5
210503,3,1,3,31,10,0,0,93,97,5
211203,3,1,3,31,12,0,0,125,107,5
212001,3,0,1,21,14,0,0,107,122,4
212301,3,0,1,27,17,0,0,95,101,4
212801,3,0,1,22,12,0,0,100,105,4
212802,3,1,2,25,12,0,0,108,103,4
213002,3,1,2,22,12,0,1,91,74,3
213102,3,0,2,26,10,0,1,117,112,3
213301,3,0,1,26,14,0,0,103,95,3
213702,3,1,2,24,14,0,0,111,120,4
213901,3,0,1,26,20,0,1,105,109,6
213902,3,1,2,27,20,0,1,102,83,6
213903,3,0,3,30,20,0,1,135,121,6
213904,3,1,4,31,20,0,1,102,107,6
215301,3,1,1,22,12,0,0,110,123,6
215302,3,0,3,25,12,1,0,111,118,6
215303,3,0,2,25,12,1,0,107,121,6
215304,3,0,4,29,12,0,0,111,102,6
216701,3,0,1,29,16,0,0,108,104,4
217402,3,1,2,29,10,0,1,98,86,6
217502,3,0,2,26,11,0,1,103,114,3
217903,3,0,3,20,7,0,1,93,128,4
218601,3,0,1,30,16,0,0,103,103,4
219003,3,0,3,29,13,0,0,97,110,5
220301,3,1,1,27,12,0,0,135,111,2
220401,3,1,1,29,15,0,1,97,102,5
221001,2,1,1,20,12,0,0,90,118,5
221002,2,0,2,22,12,0,0,109,110,5
221003,2,1,3,24,12,0,0,94,94,5
221101,2,0,1,23,12,0,1,112,97,3
221202,2,1,2,28,12,1,0,109,109,3
221402,2,1,2,28,12,0,0,87,98,4
221502,3,1,2,27,12,0,1,90,105,3
221702,3,1,2,26,12,0,1,96,75,4
222501,2,1,1,30,12,0,0,113,131,2
223401,3,0,1,25,16,0,1,98,96,4
223402,3,0,2,26,16,0,1,101,100,4
223501,3,1,1,30,15,0,1,126,122,3
223701,3,1,1,26,18,0,1,118,135,5
223702,3,1,2,29,18,0,1,116,135,5
224301,3,0,1,23,16,0,1,99,110,4
224302,3,1,2,24,16,0,0,104,111,4
224701,3,1,1,32,12,0,1,101,95,4
224902,3,1,2,27,7,0,0,96,97,4
225003,2,1,3,22,12,0,0,90,80,4
226503,2,0,3,26,14,0,0,116,118,3
226707,2,0,7,30,9,0,0,121,106,6
227001,2,1,1,29,12,0,0,113,105,3
227101,2,0,1,27,12,1,0,69,86,4
227202,2,1,2,27,12,1,0,97,97,2
227402,3,0,2,27,6,0,0,96,104,3
227501,3,0,1,19,12,0,0,97,94,3
227801,3,0,1,24,15,0,0,115,131,4
227802,3,1,2,25,15,0,0,120,101,4
228103,3,1,3,27,12,0,1,93,77,3
228501,3,1,1,27,20,0,0,114,117,4
228701,3,0,1,31,18,0,1,112,126,5
228901,3,1,1,29,12,0,1,105,113,3
229001,3,0,1,27,17,0,1,114,112,4
229401,3,0,1,25,16,1,1,65,95,4
230101,3,0,1,25,16,0,1,122,102,4
230802,3,1,2,23,7,0,0,106,112,3
231103,3,1,3,29,12,1,1,107,102,4
231302,3,0,2,30,12,0,1,98,107,4
231503,3,1,3,27,13,1,1,131,116,4
231701,3,1,1,26,13,0,0,97,87,4
231902,3,1,2,23,10,0,0,95,98,2
231903,3,1,3,24,10,0,0,89,104,2
233301,3,1,1,32,13,0,0,104,105,3
234003,3,1,3,30,10,0,1,109,97,6
234202,3,1,2,22,12,0,0,89,83,4
234703,2,1,3,23,11,0,0,112,102,13
235502,2,1,2,23,9,0,0,65,65,4
235503,2,1,3,24,9,1,0,85,79,4
235902,2,1,2,26,13,0,0,95,107,4
235903,2,0,3,29,13,0,1,103,89,4
236202,2,1,2,28,13,1,0,89,93,5
236203,2,1,3,31,13,0,0,101,93,5
236901,3,1,1,32,18,0,0,116,112,3
237501,3,0,1,26,13,0,1,118,95,3
238801,1,0,1,28,14,0,0,110,112,4
238802,1,0,2,30,14,0,0,105,109,4
239402,3,0,2,28,11,0,1,87,113,4
239503,1,1,3,26,12,0,1,116,135,6
239504,1,0,4,28,12,0,0,109,113,6
239505,1,1,5,31,12,0,0,98,87,6
239603,1,0,3,22,12,0,1,89,88,6
239604,1,1,4,24,12,0,1,97,118,6
239803,3,0,3,31,10,0,1,95,91,4
239902,3,0,2,28,10,0,1,65,65,4
240001,3,0,1,28,11,0,1,97,103,4
240702,3,1,2,26,13,0,0,108,106,4
240902,3,1,2,24,12,1,0,107,126,4
241001,3,1,1,25,12,0,0,92,82,4
241002,3,0,2,30,12,0,0,102,101,4
241201,3,1,1,22,12,0,0,109,99,5
241202,3,0,2,24,12,0,0,110,135,5
241601,3,1,1,31,12,0,1,91,99,5
241602,3,1,2,34,12,0,1,107,113,5
241801,3,0,1,25,12,0,1,100,103,2
242001,3,0,1,20,10,0,0,91,103,4
242401,3,0,1,29,12,1,0,103,102,2
242601,3,1,1,25,13,0,1,122,110,3
243301,3,1,1,27,14,0,1,111,102,3
243602,3,0,2,26,12,0,0,98,111,4
243701,3,1,1,30,14,0,1,110,109,2
244102,3,0,2,21,12,0,1,110,100,5
244201,3,1,1,27,18,1,0,102,119,4
245903,3,1,3,27,12,0,1,110,101,4
246201,3,0,1,26,11,0,1,100,104,4
246202,3,0,2,27,11,0,0,102,103,4
247101,3,1,1,20,12,0,0,101,84,2
247801,3,1,1,23,12,0,1,115,118,4
247802,3,0,2,26,12,0,0,103,103,4
248002,3,0,2,20,12,0,1,99,98,3
248401,3,1,1,21,12,0,0,100,111,5
249201,3,0,1,24,12,0,1,113,105,6
249202,3,1,2,26,12,0,1,101,96,6
250101,3,0,1,28,12,0,1,96,126,2
250502,3,1,2,27,14,0,1,109,96,3
250701,3,0,1,26,12,0,0,123,118,4
250702,3,0,2,30,12,0,0,110,126,4
251001,3,0,1,26,14,0,1,104,100,4
251402,3,0,2,29,17,0,1,114,102,4
251501,3,1,1,23,16,0,1,115,111,5
251502,3,1,2,26,16,0,1,114,121,5
252101,3,1,1,24,12,0,0,120,117,4
252102,3,0,2,29,12,0,1,118,114,4
252802,3,0,2,23,12,0,0,69,80,3
252901,3,1,1,25,12,0,0,85,90,4
252902,3,1,2,29,12,1,0,91,93,4
253001,3,1,1,26,12,0,0,93,79,4
253801,3,0,1,25,12,0,1,84,107,5
253802,3,1,2,28,12,0,1,102,103,5
254201,3,1,1,24,13,0,1,118,114,4
254402,3,1,2,29,16,0,1,102,93,4
254901,3,0,1,27,16,0,1,110,101,5
254902,3,0,2,30,16,0,0,123,107,5
255101,3,0,1,27,16,0,0,112,116,3
255201,3,1,1,26,16,0,1,118,128,4
255903,3,0,3,22,14,0,1,103,105,5
256402,3,0,2,23,12,0,1,89,93,6
256403,3,0,3,26,12,0,1,100,94,6
256901,3,0,1,25,16,0,1,94,88,4
256902,3,0,2,27,16,0,1,89,98,4
257002,3,0,2,25,16,0,1,65,93,4
258801,3,1,1,28,16,0,1,125,135,3
260601,3,1,1,27,16,0,0,107,99,4
260602,3,0,2,29,16,0,0,110,135,4
260701,3,1,1,29,16,0,0,113,110,4
260702,3,0,2,31,16,0,0,118,98,4
261501,3,0,1,21,12,0,1,98,92,4
261502,3,1,2,23,12,0,1,81,84,4
261503,3,1,3,25,12,0,1,96,80,4
263501,3,1,1,26,12,0,0,115,135,3
264502,1,0,2,22,13,0,1,100,103,4
264801,1,0,1,23,18,0,0,95,109,4
265201,1,1,1,23,12,0,0,78,95,3
265401,1,0,1,23,12,0,0,72,98,7
265402,1,0,2,25,12,0,0,82,97,7
265501,1,1,1,24,10,0,0,69,81,10
265502,1,1,2,25,10,0,0,79,82,10
265503,1,0,3,26,10,0,0,65,94,10
265504,1,1,4,27,10,0,0,91,103,10
265902,1,0,2,23,8,0,1,100,119,4
266203,1,1,3,23,12,0,0,95,100,5
266305,1,0,5,27,7,0,0,74,93,7
266901,1,1,1,27,12,0,1,89,87,8
266902,1,0,2,31,12,0,1,104,108,8
267202,1,0,2,25,12,0,0,114,94,4
267701,1,0,1,23,13,0,1,85,92,4
267702,1,1,2,27,13,0,0,107,112,4
267903,1,1,3,24,11,0,1,103,128,10
267904,1,1,4,26,11,0,1,74,93,10
267905,1,1,5,27,11,0,1,110,135,10
267906,1,0,6,30,11,0,1,90,98,10
268001,3,0,1,29,17,0,1,108,135,4
268002,3,1,2,31,17,0,1,103,102,4
268101,1,1,1,23,0,0,0,102,79,5
268102,1,0,2,29,0,0,0,87,110,5
268303,1,1,3,24,11,0,1,97,74,6
268901,3,0,1,30,12,0,1,97,104,4
268902,3,1,2,31,12,0,1,106,102,4
269002,1,1,2,25,11,0,0,65,75,5
269003,1,0,3,30,11,0,0,103,107,5
269101,1,0,1,23,13,0,0,107,96,5
269102,1,0,2,25,13,0,0,84,82,5
269202,1,1,2,24,12,0,0,97,116,4
270601,1,0,1,29,12,1,1,106,101,3
271002,1,1,2,24,12,0,0,99,101,3
271201,2,0,1,28,16,0,0,96,116,4
271202,2,1,2,31,16,0,0,86,102,4
271203,2,1,3,32,16,0,0,102,106,4
273101,3,1,1,25,16,0,1,114,116,4
273102,3,0,2,28,16,0,1,88,116,4
273501,2,1,1,23,12,0,1,112,113,4
273703,3,1,3,26,12,0,0,100,113,5
273901,3,1,1,29,16,0,0,128,120,4
274001,3,1,1,26,16,0,0,118,113,3
274302,2,0,2,28,14,0,0,88,100,3
274401,3,0,1,29,14,0,0,87,113,4
274802,3,1,2,28,12,0,0,92,97,4
276903,2,1,3,26,11,1,0,65,72,3
277001,2,1,1,24,16,0,1,65,69,5
277002,2,1,3,31,16,0,1,112,135,5
277003,2,0,2,31,16,0,1,102,120,5
277102,2,1,2,26,16,0,1,88,92,6
277103,2,0,3,28,16,0,1,94,106,6
277502,3,0,2,28,12,0,1,100,98,5
277802,3,1,2,31,9,1,0,87,109,3
278103,3,0,3,26,12,0,1,135,110,5
278401,2,0,1,22,12,0,0,107,135,2
279001,2,0,2,26,13,1,0,104,104,3
279002,2,1,1,26,13,1,0,107,107,3
279203,2,0,3,28,12,0,0,122,84,3
279504,2,0,4,23,11,0,0,91,72,5
280401,2,0,1,27,16,0,0,115,123,4
281801,3,1,1,22,14,0,1,104,120,4
281802,3,0,2,26,14,1,1,128,122,4
282301,3,0,1,23,17,0,0,88,93,5
282302,3,1,2,26,17,0,0,102,116,5
282602,3,1,2,30,12,0,1,100,107,5
282603,3,0,3,32,12,0,1,96,101,5
283501,3,1,1,25,12,0,1,99,105,4
283502,3,0,2,28,12,0,1,111,116,4
284102,3,0,2,26,14,0,1,107,119,5
285501,3,1,1,20,14,0,0,88,100,4
285502,3,0,2,22,14,0,0,82,105,4
285503,3,0,3,27,14,0,1,99,103,4
287701,3,0,1,32,14,0,1,98,111,4
287805,1,1,5,30,6,0,0,84,92,7
287806,1,1,6,32,6,0,1,85,85,7
288301,3,1,1,29,12,0,1,131,112,5
288501,3,0,1,25,11,0,1,112,122,4
288502,3,0,2,28,11,0,1,117,119,4
288701,3,0,1,32,12,0,1,111,104,3
290001,3,1,1,29,18,0,1,125,128,4
290002,3,0,2,31,18,0,1,114,131,4
290201,3,0,1,31,16,0,1,112,116,4
290801,3,0,1,30,16,0,1,98,135,5
290802,3,1,2,32,16,0,1,96,96,5
290901,3,0,1,25,18,0,1,135,123,4
290902,3,1,2,29,18,0,1,104,105,4
291103,1,0,3,30,12,0,1,83,102,5
291801,3,0,1,28,12,0,1,117,131,4
291802,3,0,2,30,12,0,0,108,126,4
292601,3,1,1,28,17,0,0,119,116,6
292603,3,0,3,34,17,0,0,116,117,6
292801,3,0,1,27,16,0,1,97,85,4
293601,3,0,1,31,16,0,1,103,109,2
294803,3,0,3,28,16,0,1,102,88,6
294804,3,0,4,34,16,0,1,119,131,6
294902,3,1,2,28,16,0,1,128,114,6
294903,3,0,3,31,16,0,1,113,126,6
295201,3,0,1,27,13,0,1,115,112,3
297801,3,1,1,25,12,0,0,122,118,4
297802,3,0,2,29,12,0,0,101,121,4
297901,3,0,1,29,12,0,0,107,123,4
298301,3,0,1,26,12,1,1,109,107,4
299301,3,0,1,22,12,0,1,98,92,4
299302,3,1,2,25,12,0,1,79,77,4
299501,3,1,1,25,12,0,1,105,109,3
300403,2,1,3,27,16,0,0,81,87,5
301001,2,0,1,32,14,0,0,87,99,3
301101,3,1,1,28,17,0,1,128,135,4
301201,3,1,1,35,12,0,1,87,98,3
301401,1,1,1,25,8,0,0,118,102,3
302001,3,1,1,28,12,0,0,102,121,3
302103,3,0,3,32,12,0,0,102,104,4
302301,3,0,1,28,11,0,0,100,98,4
304103,3,1,3,29,13,0,0,97,105,7
304104,3,1,4,31,13,0,0,93,113,7
304201,3,0,1,25,12,0,0,112,119,3
304605,2,1,5,27,12,0,0,95,85,8
304901,3,0,1,25,12,0,0,100,104,4
305804,3,1,4,26,12,0,1,113,112,4
305805,3,0,5,30,12,0,1,110,128,4
306101,3,0,1,34,16,0,1,101,115,3
307901,3,0,1,26,12,0,1,98,107,3
308001,3,0,1,27,12,0,1,88,77,4
308101,3,0,1,21,12,0,1,118,112,2
309301,3,0,1,27,12,0,0,117,106,4
309302,3,0,2,30,12,0,0,65,65,4
309801,3,0,1,26,12,0,1,119,125,4
309802,3,0,2,30,12,0,1,107,117,4
310102,3,0,2,22,11,0,1,111,103,4
310103,3,0,3,25,11,0,1,135,94,4
310502,3,1,2,25,11,0,1,126,112,6
310701,3,1,1,24,15,0,1,116,113,3
310802,3,1,2,24,12,0,0,114,107,4
310803,3,0,3,31,12,0,0,110,102,4
311101,3,0,1,24,14,0,1,95,109,5
311102,3,1,2,28,14,0,0,128,106,5
311701,3,1,1,31,14,0,1,107,112,4
312102,3,1,2,24,12,0,1,118,128,5
312103,3,0,3,29,12,0,0,99,93,5
312201,3,1,1,24,13,0,1,111,109,4
312901,3,0,1,27,12,0,1,107,113,4
315101,3,0,2,23,12,1,0,94,95,4
315102,3,0,1,23,12,1,0,65,87,4
315103,3,1,3,28,12,0,0,112,94,4
315401,3,1,1,29,16,0,1,126,122,6
315403,3,0,3,34,16,0,1,114,117,6
316201,3,1,1,26,16,0,1,128,110,4
316303,3,0,3,29,12,0,0,111,105,5
316402,3,0,2,27,12,0,0,97,113,4
317901,3,1,1,32,16,0,1,95,98,2
319002,2,0,2,24,12,1,1,98,106,6
319702,3,0,2,23,12,0,0,100,109,5
320102,3,0,2,23,14,0,1,115,118,5
320103,3,1,3,27,14,0,1,109,117,5
322101,3,0,1,23,12,0,0,97,100,3
322102,3,1,2,25,12,0,0,105,135,3
322501,3,1,1,22,14,0,1,105,115,7
322503,3,0,3,27,14,0,1,105,135,7
324201,3,1,1,26,12,0,0,108,105,4
324202,3,0,2,29,12,0,0,110,118,4
324301,3,1,1,26,16,0,1,87,101,4
324302,3,0,2,28,16,0,1,111,92,4
324303,3,1,3,31,16,1,1,97,104,4
324401,3,1,1,27,18,0,1,123,128,4
324801,3,1,1,25,12,0,0,110,123,5
324802,3,0,2,28,12,0,0,105,109,5
325001,3,1,1,23,14,0,1,114,118,5
325002,3,1,2,25,14,0,1,114,128,5
325003,3,0,3,30,14,0,1,97,135,5
325401,3,0,1,26,12,0,0,98,112,4
326901,1,1,1,27,14,0,0,98,119,2
327302,1,0,2,25,11,0,0,102,121,3
327801,3,1,1,33,19,0,0,110,99,3
329302,3,0,2,26,12,0,0,95,107,4
330302,3,0,2,25,16,0,1,126,103,5
330303,3,0,3,29,16,0,1,122,113,5
331604,2,1,5,28,15,1,0,131,111,3
332201,2,0,1,33,13,0,0,108,99,3
334201,3,0,1,31,16,0,1,105,95,3
334702,3,0,2,28,12,1,0,97,125,3
334804,3,1,4,25,12,0,0,102,102,7
334805,3,1,5,29,12,0,0,94,91,7
335001,3,1,1,29,14,1,0,101,116,4
335801,3,1,1,31,16,0,0,108,82,6
336401,3,0,1,32,14,0,1,103,103,4
336501,3,0,1,26,14,0,1,100,109,6
336502,3,1,2,28,14,0,1,107,105,6
336901,3,0,1,29,16,0,1,116,105,4
336902,3,1,2,32,16,0,1,105,98,4
339701,3,1,1,22,12,0,1,108,118,5
339702,3,1,2,24,12,1,1,112,114,5
340702,3,1,2,27,16,0,1,121,123,4
341101,3,0,1,25,15,0,1,117,126,4
341202,3,0,2,24,11,0,1,97,99,4
342102,3,0,2,24,13,0,1,114,112,3
342301,3,0,2,30,16,1,1,108,114,5
342302,3,0,1,30,16,1,1,102,110,5
342401,3,1,1,27,14,0,1,107,108,3
342402,3,0,2,30,14,0,1,118,111,3
342601,3,1,1,27,16,0,1,126,125,5
342602,3,1,2,29,16,0,1,91,103,5
342801,3,1,1,27,19,0,1,126,125,5
342802,3,1,2,30,19,0,1,128,123,5
342903,3,1,3,29,16,0,1,121,112,6
342904,3,0,4,33,16,0,1,109,95,6
343001,3,0,1,24,16,0,1,131,116,8
343002,3,0,2,26,16,0,1,110,114,8
343003,3,0,3,29,16,0,1,113,98,8
343005,3,1,5,33,16,0,1,128,135,8
343301,3,0,1,26,16,0,1,111,103,5
343302,3,0,2,28,16,0,1,94,97,5
343303,3,0,3,30,16,0,1,111,117,5
343502,1,1,2,33,0,0,0,97,97,3
343602,1,1,2,27,6,0,0,111,107,6
344704,2,0,4,29,11,0,0,69,75,8
344705,2,0,5,32,11,0,0,88,93,8
345201,3,0,1,26,12,0,0,113,118,4
345402,3,0,2,26,12,0,1,117,114,5
345601,3,1,1,29,11,0,0,94,103,4
345602,3,1,2,30,11,0,0,113,102,4
345701,3,1,1,26,14,0,0,93,93,4
345702,3,0,2,27,14,0,0,101,108,4
345801,3,0,1,27,12,0,0,106,114,5
345803,3,0,2,30,12,0,0,106,80,5
346501,3,0,1,23,12,0,1,108,114,5
346502,3,0,2,24,12,0,1,105,114,5
346701,3,1,1,31,12,0,1,122,121,5
346702,3,0,2,34,12,0,1,106,105,5
347501,3,0,1,22,12,0,0,105,112,4
347502,3,1,2,24,12,0,0,104,103,4
347602,3,1,2,27,12,0,1,103,111,6
347603,3,1,3,28,12,0,1,83,105,6
348001,3,0,1,30,12,0,1,116,107,3
348102,3,1,2,26,14,0,0,120,120,5
348103,3,0,3,30,14,0,0,115,105,5
348703,3,1,3,32,12,0,0,108,98,6
349101,3,1,1,24,12,0,1,114,111,5
349102,3,1,2,28,12,0,0,85,103,5
350201,1,0,1,31,12,1,0,102,111,4
350601,3,0,1,29,16,0,1,108,122,5
351101,3,0,1,24,12,0,1,106,108,4
351102,3,1,2,26,12,0,1,113,107,4
351401,3,1,1,25,12,0,1,116,131,5
353101,3,0,1,28,13,0,1,87,128,4
353102,3,1,2,31,13,0,1,101,113,4
353202,3,0,2,28,12,0,1,100,93,7
353203,3,1,3,32,12,0,0,90,115,7
353701,3,0,1,28,12,0,1,123,109,4
353702,3,1,2,32,12,0,0,93,111,4
354301,2,0,1,20,12,0,0,93,98,4
354302,2,1,2,21,12,0,0,102,100,4
354303,2,0,3,25,12,0,0,96,106,4
354407,2,1,8,27,11,1,1,65,69,5
354501,2,1,1,22,14,0,1,116,125,4
354502,2,0,2,23,14,0,1,125,126,4
354503,2,0,3,26,14,0,1,121,135,4
354601,2,0,1,23,15,0,0,88,101,4
354701,2,0,1,26,14,0,1,108,118,2
354801,2,0,1,21,14,0,1,93,99,4
354802,2,1,2,25,14,0,1,110,108,4
354901,3,0,1,25,12,1,0,118,94,4
354902,3,1,2,27,12,0,1,104,118,4
355101,3,0,1,30,16,0,1,87,105,4
355501,3,1,1,30,12,0,0,103,104,4
355502,3,0,2,31,12,0,0,116,112,4
355603,3,1,3,32,12,0,0,89,99,3
355701,3,1,1,27,12,0,0,80,98,5
355702,3,0,2,29,12,0,0,97,102,5
355703,3,1,3,30,12,0,0,93,92,5
355801,3,0,1,24,17,0,0,107,117,4
355802,3,1,2,27,17,0,0,112,110,4
356401,3,1,1,27,12,0,1,112,95,4
356502,3,0,2,28,12,0,1,97,101,4
356503,3,0,3,31,12,0,1,104,122,4
356602,3,1,2,26,12,0,0,107,94,5
356603,3,1,3,29,12,0,0,105,114,5
357202,3,1,2,20,10,0,1,114,125,5
357203,3,0,3,27,10,0,1,121,115,5
357301,3,0,1,23,12,0,0,122,135,4
357302,3,1,2,25,12,0,0,125,135,4
357602,3,1,2,27,12,0,0,116,123,4
358402,3,0,2,28,12,1,0,92,118,3
358601,3,1,1,26,12,0,1,114,119,3
358602,3,1,2,28,12,0,1,90,98,3
359402,3,1,2,27,12,0,1,114,135,5
359702,3,0,2,25,14,0,1,104,105,4
359703,3,1,3,26,14,0,1,93,72,4
359704,3,0,4,28,14,0,1,119,95,4
360101,3,0,1,22,13,0,0,112,111,5
360102,3,0,2,25,13,0,0,107,111,5
360103,3,0,3,27,13,0,0,98,102,5
360301,3,1,1,26,12,0,1,102,107,4
360303,3,1,3,29,12,0,0,92,103,4
360501,3,1,2,30,12,1,1,113,116,4
360502,3,0,1,30,12,1,1,120,122,4
360603,3,0,3,23,13,0,0,118,122,5
360901,3,0,1,29,14,0,1,118,111,5
361001,3,0,1,26,13,1,1,97,110,2
361102,3,0,2,25,12,0,0,99,107,5
361301,3,0,1,30,13,1,0,115,118,3
361402,3,1,2,28,16,0,0,131,118,4
362601,3,0,1,27,16,0,0,102,107,3
362602,3,1,2,31,16,0,0,100,82,3
363301,3,0,1,22,12,1,0,106,135,5
363302,3,0,2,24,12,0,0,110,135,5
364102,3,0,2,30,14,0,1,119,94,4
364804,3,0,4,24,12,0,0,86,65,8
364805,3,0,5,26,12,0,0,135,74,8
364903,3,0,3,25,12,0,0,112,97,3
365002,3,1,2,23,12,0,1,104,101,5
365003,3,1,3,27,12,0,1,121,99,5
365401,3,1,2,20,12,1,1,109,91,9
365402,3,1,1,20,12,1,1,99,82,9
365403,3,1,3,25,12,0,1,86,105,9
365404,3,0,4,27,12,0,1,119,103,9
365502,3,1,2,23,12,0,0,88,105,4
366201,3,0,1,27,12,0,0,105,103,3
366202,3,0,2,33,12,0,0,103,100,3
366301,3,1,1,30,17,0,0,113,107,4
366901,3,0,1,25,16,0,1,97,121,5
366902,3,1,2,28,16,0,1,103,96,5
367901,3,1,1,27,14,0,1,97,98,5
367902,3,1,2,29,14,0,1,91,91,5
368101,3,0,1,27,16,0,1,121,121,4
368102,3,1,2,28,16,0,1,128,111,4
369101,3,1,1,24,12,0,0,94,82,5
369102,3,0,2,27,12,0,0,102,93,5
369702,1,1,2,21,10,1,0,93,96,5
371101,3,0,1,29,16,0,1,92,107,7
371102,3,1,2,30,16,0,1,111,122,7
371103,3,1,3,31,16,0,1,105,113,7
371503,3,1,3,26,12,0,1,115,88,6
371504,3,1,4,30,12,0,1,103,105,6
371802,3,0,2,24,15,0,1,126,114,5
371803,3,0,3,25,15,0,0,135,115,5
372701,3,0,1,28,10,0,0,123,123,5
372802,3,1,2,24,11,0,0,91,98,5
372803,3,1,3,26,11,0,1,74,65,5
372804,3,1,4,29,11,0,0,77,93,5
372903,3,1,3,28,10,0,0,87,90,6
373401,3,0,1,30,15,0,1,115,101,5
373601,3,1,1,31,12,1,0,118,110,4
374001,3,1,1,24,11,0,0,94,107,4
374002,3,1,2,25,11,0,0,112,95,4
374101,3,1,1,25,12,0,1,126,120,5
374602,3,0,2,25,12,0,0,114,105,5
374603,3,1,3,28,12,0,0,131,131,5
375303,3,0,3,22,12,0,0,114,118,7
375903,3,0,3,28,14,0,0,92,113,5
376903,3,0,3,29,14,0,0,75,100,4
377001,3,0,1,23,12,0,0,112,105,4
377002,3,0,2,26,12,0,0,97,100,4
377101,3,1,1,27,15,0,0,65,65,5
377903,3,0,3,27,15,0,0,135,107,5
377904,3,1,4,29,15,0,0,112,121,5
378101,3,1,1,30,16,0,1,103,98,4
378102,3,1,2,32,16,0,1,98,94,4
378402,3,1,2,27,12,0,0,79,77,3
378601,3,0,1,32,14,0,1,87,117,4
378702,3,0,3,31,15,0,1,108,118,5
378703,3,0,2,31,15,0,1,118,122,5
379002,3,0,2,27,12,0,0,103,96,3
379301,3,0,1,26,14,0,1,90,98,4
379302,3,0,2,32,14,0,1,100,102,4
379701,3,0,1,23,14,0,1,102,122,3
379801,3,0,1,25,16,0,1,102,116,7
379802,3,0,2,26,16,0,1,114,116,7
380201,3,1,1,31,13,0,1,110,98,3
380401,3,1,1,28,18,0,1,106,118,4
380402,3,0,2,29,18,0,1,104,118,4
380601,3,1,1,30,14,0,0,117,108,4
380602,3,0,2,32,14,0,0,116,108,4
381201,3,1,1,29,16,0,1,116,122,3
381303,3,1,3,22,14,0,0,118,100,3
381304,3,0,4,24,14,0,0,112,96,3
381901,2,1,1,21,12,1,0,74,107,6
381902,2,1,2,25,12,0,0,98,107,6
381903,2,1,3,26,12,0,0,91,105,6
381904,2,1,4,28,12,0,0,111,109,6
382102,2,1,2,25,11,0,0,91,81,9
383903,3,0,3,29,9,0,0,107,102,4
384901,3,1,1,30,12,0,0,101,103,2
385102,3,1,2,23,11,0,0,95,103,2
385301,1,1,1,25,13,0,0,131,128,4
385302,1,0,2,27,13,0,0,109,116,4
385901,3,0,1,31,12,0,0,102,85,4
387701,3,0,1,23,15,0,1,131,113,5
387702,3,0,2,24,15,0,1,135,116,5
387703,3,1,3,28,15,0,1,135,106,5
388901,3,1,1,27,16,0,1,120,123,4
388902,3,0,2,31,16,0,1,103,120,4
389902,3,1,2,28,14,0,1,121,114,6
389903,3,0,3,29,14,0,1,112,100,6
391501,3,0,1,26,16,0,1,135,135,4
391901,3,1,1,21,14,0,1,106,103,5
391902,3,1,2,28,14,0,1,113,120,5
392101,3,1,1,22,14,0,0,122,122,5
392102,3,0,2,27,14,0,0,78,107,5
392103,3,1,3,28,14,0,0,113,120,5
392301,3,0,1,26,16,0,1,97,106,6
392302,3,0,2,28,16,0,1,120,121,6
392902,3,0,2,31,9,0,1,103,100,3
394402,2,1,2,27,10,0,0,86,102,2
394804,2,1,4,30,9,0,0,80,86,3
395302,2,1,2,26,16,0,1,111,103,6
395303,2,1,3,31,16,0,0,98,107,6
396001,2,1,1,28,14,0,0,85,106,3
396203,3,0,3,27,12,0,0,80,89,6
396204,3,1,4,31,12,0,0,105,86,6
396401,3,0,1,27,16,0,1,107,119,4
396402,3,1,2,28,16,0,1,110,91,4
397001,3,0,1,29,16,0,1,102,109,5
397002,3,1,2,32,16,0,1,93,112,5
397201,3,1,1,27,17,0,1,116,115,5
397202,3,1,2,29,17,0,1,128,114,5
397203,3,1,3,32,17,0,1,102,106,5
397504,2,0,4,23,11,0,0,111,120,5
398203,3,0,3,26,12,0,0,104,123,6
398204,3,0,4,27,12,0,0,89,102,6
399503,2,0,3,23,12,1,0,95,106,4
400101,3,0,1,28,13,0,1,122,113,4
400201,3,1,1,26,16,0,1,102,110,4
400202,3,0,2,28,16,1,0,112,117,4
400702,2,0,2,25,12,0,0,106,102,3
401502,2,0,2,22,13,0,0,99,102,5
401503,2,1,3,24,13,0,0,88,100,5
403701,3,1,1,24,15,0,1,102,108,3
404103,3,1,3,28,13,0,1,101,96,6
404502,3,1,2,24,15,0,1,102,91,4
404503,3,0,3,29,15,0,1,111,95,4
