CID,race,gender,birthord,magebirth,medu,bthwht,breastfed,math,read,hhnum
47401,3,1,1,28,12,0,0,107,118,4
47402,3,1,2,30,12,0,0,116,93,4
47601,3,0,1,26,12,1,1,107,123,4
48502,3,1,2,27,10,0,0,96,107,4
49201,3,1,1,28,12,0,0,108,135,5
49202,3,1,2,30,12,0,0,107,115,5
49401,3,0,1,27,15,0,1,98,107,4
49402,3,1,2,29,15,0,1,113,95,4
49501,3,1,1,25,13,0,0,118,131,3
49502,3,0,2,28,13,0,0,99,113,3
50402,3,0,2,25,9,0,0,98,103,3
50601,3,0,1,31,16,0,0,96,104,2
50701,3,1,1,23,14,0,1,113,104,4
50702,3,0,2,25,14,0,1,105,93,4
53601,3,0,1,25,10,0,0,92,103,4
53602,3,1,2,29,10,0,0,102,91,4
54202,3,0,2,25,10,0,1,110,117,4
54401,3,0,1,28,12,0,1,115,113,3
54602,3,1,2,25,10,0,0,97,85,4
55201,3,1,1,24,16,0,1,119,98,4
55202,3,0,2,27,16,0,1,126,119,4
55701,3,1,1,28,17,0,1,107,118,6
55702,3,0,2,30,17,0,1,99,118,6
55703,3,1,3,32,17,0,1,110,110,6
55801,3,0,1,28,17,0,1,104,115,5
56801,3,0,1,29,12,0,1,104,107,3
57901,3,0,1,25,12,0,1,116,126,4
57902,3,0,2,29,12,0,1,123,121,4
58504,3,1,4,26,9,0,0,102,93,6
58505,3,1,5,28,9,0,0,117,102,6
58803,3,1,3,26,8,1,0,93,91,7
60402,3,1,2,28,15,0,1,107,109,6
60801,3,1,1,26,16,0,1,114,113,5
60802,3,1,2,30,16,0,1,86,104,5
61102,3,0,2,27,14,0,1,112,126,4
61502,3,1,2,28,10,1,0,91,101,4
61905,3,0,5,27,12,0,0,108,102,7
61906,3,0,6,30,12,0,0,96,92,7
62101,2,0,1,26,11,1,0,111,95,5
62102,2,1,2,29,11,0,0,116,95,5
62201,2,0,1,24,14,0,0,131,126,4
62703,3,1,3,32,12,0,1,99,116,6
64001,3,0,1,22,12,0,0,110,109,4
64002,3,1,2,26,12,0,1,109,95,4
64201,3,0,1,25,12,0,1,94,103,4
64202,3,1,2,26,12,0,0,85,91,4
65001,3,1,1,31,16,1,1,107,97,4
65601,3,0,1,26,18,0,1,128,128,4
65602,3,1,2,29,18,0,1,99,109,4
66001,3,0,1,28,14,0,1,123,103,5
66002,3,1,2,30,14,0,1,108,104,5
66201,3,1,1,26,12,0,1,111,95,5
66202,3,0,2,28,12,0,1,97,93,5
66401,3,0,1,28,17,0,1,125,118,4
66402,3,0,2,33,17,0,1,82,135,4
67701,2,0,1,23,12,0,0,82,99,5
67702,2,1,2,27,12,0,0,135,106,5
67703,2,0,4,28,12,1,0,100,116,5
67704,2,0,3,28,12,0,0,94,112,5
68802,3,0,2,27,14,1,1,107,106,2
68901,3,0,1,22,13,0,0,99,102,3
68902,3,0,2,28,13,1,0,109,105,3
69202,3,1,2,22,13,0,0,77,72,3
70402,3,0,2,26,13,0,1,74,111,4
70603,3,0,3,28,13,0,1,98,110,7
70604,3,0,4,30,13,0,0,83,80,7
71202,3,1,2,27,13,0,1,103,88,4
71302,3,0,2,25,12,0,0,104,125,4
72102,3,1,2,26,13,0,1,79,82,1
72401,3,1,1,24,15,0,1,107,120,3
72602,3,1,2,27,15,0,0,98,91,5
73301,3,0,2,21,13,1,1,92,107,6
73302,3,0,1,21,13,1,1,86,101,6
73303,3,0,3,26,13,0,0,90,104,6
73304,3,1,4,27,13,0,1,101,104,6
73601,3,1,1,20,12,0,0,114,125,4
73602,3,1,2,24,12,0,0,110,108,4
73903,3,0,3,29,12,0,0,111,126,3
74602,3,1,2,29,13,0,0,112,98,4
75503,1,0,3,29,12,1,0,94,100,4
75602,1,1,2,20,12,0,0,92,106,6
75603,1,0,3,26,12,0,0,90,98,6
75604,1,0,4,28,12,0,0,93,98,6
